year,value,edu_encoded,area_clean_นอกเขตเทศบาล,area_clean_รวม,area_clean_เขตเทศบาล,sex_clean_ชาย,sex_clean_รวม,sex_clean_หญิง,quarter1,quarter2,quarter3,quarter4
2559,86,6,0,0,1,1,0,0,0,0,1,0
2559,65,6,0,0,1,0,0,1,0,0,1,0
2559,34.9,6,1,0,0,0,1,0,0,0,1,0
2559,51.3,6,1,0,0,1,0,0,0,0,1,0
2559,19.6,6,1,0,0,0,0,1,0,0,1,0
2559,42.6,6,0,1,0,0,1,0,0,0,0,1
2559,25.9,6,0,1,0,1,0,0,0,0,0,1
2559,68.9,6,0,1,0,0,0,1,0,0,0,1
2559,60.1,6,0,0,1,0,1,0,0,0,0,1
2559,46.1,6,0,0,1,1,0,0,0,0,0,1
2559,73.3,6,0,0,1,0,0,1,0,0,0,1
2560,58,6,0,1,0,0,1,0,1,0,0,0
2560,65.2,6,0,1,0,1,0,0,1,0,0,0
2560,42.7,6,0,1,0,0,0,1,1,0,0,0
2560,56.9,6,0,0,1,0,1,0,1,0,0,0
2560,71.1,6,0,0,1,1,0,0,1,0,0,0
2560,35.7,6,0,0,1,0,0,1,1,0,0,0
2560,58.7,6,1,0,0,0,1,0,1,0,0,0
2560,62.1,6,1,0,0,1,0,0,1,0,0,0
2560,49.4,6,1,0,0,0,0,1,1,0,0,0
2560,52.9,6,0,1,0,0,1,0,0,1,0,0
2560,91.2,6,0,1,0,1,0,0,0,1,0,0
2560,11.8,6,0,1,0,0,0,1,0,1,0,0
2560,61.9,6,0,0,1,0,1,0,0,1,0,0
2560,85.4,6,0,0,1,1,0,0,0,1,0,0
2560,32.3,6,0,0,1,0,0,1,0,1,0,0
2560,47,6,1,0,0,0,1,0,0,1,0,0
2560,95.5,6,1,0,0,1,0,0,0,1,0,0
2560,69.3,6,0,1,0,0,1,0,0,0,1,0
2560,75.9,6,0,1,0,1,0,0,0,0,1,0
2560,63.4,6,0,1,0,0,0,1,0,0,1,0
2560,59.2,6,0,0,1,0,1,0,0,0,1,0
2560,61.1,6,0,0,1,1,0,0,0,0,1,0
2560,52.5,6,0,0,1,0,0,1,0,0,1,0
2560,75.3,6,1,0,0,0,1,0,0,0,1,0
2558,83.9,6,0,1,0,1,0,0,0,0,1,0
2558,20.9,6,0,1,0,0,0,1,0,0,1,0
2558,18.1,6,0,0,1,0,1,0,0,0,1,0
2558,35.2,6,0,0,1,1,0,0,0,0,1,0
2558,13.2,6,0,0,1,0,0,1,0,0,1,0
2558,79.3,6,1,0,0,0,1,0,0,0,1,0
2558,92.2,6,1,0,0,1,0,0,0,0,1,0
2558,36.2,6,1,0,0,0,0,1,0,0,1,0
2558,41.2,6,0,1,0,0,1,0,0,0,0,1
2558,58.1,6,0,1,0,1,0,0,0,0,0,1
2558,18.7,6,0,1,0,0,0,1,0,0,0,1
2558,49.5,6,0,0,1,0,1,0,0,0,0,1
2558,62.4,6,0,0,1,1,0,0,0,0,0,1
2558,29,6,0,0,1,0,0,1,0,0,0,1
2558,30.6,6,1,0,0,0,1,0,0,0,0,1
2558,51.4,6,1,0,0,1,0,0,0,0,0,1
2558,8,6,1,0,0,0,0,1,0,0,0,1
2559,40,6,0,1,0,0,1,0,1,0,0,0
2559,31.4,6,0,1,0,1,0,0,1,0,0,0
2559,45.6,6,0,1,0,0,0,1,1,0,0,0
2559,41.8,6,0,0,1,0,1,0,1,0,0,0
2559,14.2,6,0,0,1,1,0,0,1,0,0,0
2559,59.4,6,0,0,1,0,0,1,1,0,0,0
2559,39,6,1,0,0,0,1,0,1,0,0,0
2559,40.3,6,1,0,0,1,0,0,1,0,0,0
2559,38.2,6,1,0,0,0,0,1,1,0,0,0
2559,58.5,6,0,1,0,0,1,0,0,1,0,0
2559,58.5,6,0,1,0,1,0,0,0,1,0,0
2559,58.4,6,0,1,0,0,0,1,0,1,0,0
2559,55.8,6,0,0,1,0,1,0,0,1,0,0
2559,40,6,0,0,1,1,0,0,0,1,0,0
2559,71.1,6,0,0,1,0,0,1,0,1,0,0
2559,60.8,6,1,0,0,0,1,0,0,1,0,0
2559,69.9,6,1,0,0,1,0,0,0,1,0,0
2559,41,6,1,0,0,0,0,1,0,1,0,0
2559,65.3,6,0,1,0,0,1,0,0,0,1,0
2559,77.6,6,0,1,0,1,0,0,0,0,1,0
2559,57.8,6,0,1,0,0,0,1,0,0,1,0
2560,65.3,6,1,0,0,0,0,1,0,0,1,0
2562,39.6,6,1,0,0,0,0,1,0,0,0,1
2563,71.3,6,0,1,0,0,1,0,1,0,0,0
2563,62.1,6,0,1,0,1,0,0,1,0,0,0
2563,80.4,6,0,1,0,0,0,1,1,0,0,0
